CDSCode,Status,County,Level_,Pb_Prv_BIE,Lat,Long
19768696023816,Active,Los Angeles,Elementary,Public,33.908279,-118.376199
19768690119016,Active,Los Angeles,Elementary-High Combination,Public,33.908159,-118.376167
19768690119636,Active,Los Angeles,Elementary-High Combination,Public,33.908407,-118.37635
19768690128728,Active,Los Angeles,Elementary,Public,33.908408,-118.376083
19768696023808,Active,Los Angeles,Elementary,Public,33.922632,-118.371115
19768696023832,Active,Los Angeles,Intermediate/Middle/Junior High,Public,33.90828,-118.37627
19768696023824,Active,Los Angeles,Elementary,Public,33.910364,-118.372756
19647330127936,Active,Los Angeles,Intermediate/Middle/Junior High,Public,33.983954,-118.223502
19647336019954,Active,Los Angeles,Elementary,Public,34.164432,-118.544704
19647336058077,Active,Los Angeles,Intermediate/Middle/Junior High,Public,34.116477,-118.241444
19647336019111,Active,Los Angeles,Elementary,Public,34.160522,-118.587346
19647336017016,Active,Los Angeles,Elementary,Public,34.279929,-118.390395
19647336019525,Active,Los Angeles,Elementary,Public,34.092812,-118.60484
19647336058226,Active,Los Angeles,Intermediate/Middle/Junior High,Public,34.0224,-118.415262
19647336089700,Active,Los Angeles,Elementary,Public,33.989165,-118.190907
19647336061527,Active,Los Angeles,Intermediate/Middle/Junior High,Public,33.9397,-118.244982
19647336019145,Active,Los Angeles,Elementary,Public,33.972425,-118.316546
19647336066286,Active,Los Angeles,Elementary,Public,34.046187,-118.356432
19647336019673,Active,Los Angeles,Elementary,Public,34.304829,-118.505825
19647336058150,Active,Los Angeles,Intermediate/Middle/Junior High,Public,34.163516,-118.428489
19647336058291,Active,Los Angeles,Intermediate/Middle/Junior High,Public,34.241019,-118.465946
19647336058333,Active,Los Angeles,Intermediate/Middle/Junior High,Public,34.168922,-118.451976
19647336019723,Active,Los Angeles,Elementary,Public,34.239828,-118.420747
19647336061543,Active,Los Angeles,Intermediate/Middle/Junior High,Public,34.251085,-118.551358
19647336019186,Active,Los Angeles,Elementary,Public,34.149979,-118.455018
19647336019210,Active,Los Angeles,Elementary,Public,34.082078,-118.168905
19647336107064,Active,Los Angeles,Intermediate/Middle/Junior High,Public,34.045857,-118.316935
