api,lat,lon
03700805,34.002313,-118.163643
03700806,34.002339,-118.163625
03700807,34.002367,-118.163608
03700808,34.002353,-118.163578
03700809,34.002329,-118.163593
03700810,34.002308,-118.163608
03700870,33.809617,-118.182335
03700911,33.768836,-118.240901
03700913,33.778049,-118.242034
03700995,34.055542,-118.390531
03700996,34.055542,-118.390509
03700997,34.05554,-118.390482
03700998,34.055539,-118.390461
03700999,34.055539,-118.390387
03701051,34.05554,-118.390413
03701052,34.050651,-118.405411
03701053,34.050713,-118.405375
03701054,34.050703,-118.40543
03701055,34.050733,-118.405518
03701057,34.050688,-118.405331
03701161,34.194864,-118.664356
03701167,34.194555,-118.663985
03701177,34.314998,-118.5099
03701179,34.31686,-118.507745
03701181,34.31803,-118.507765
03701183,34.316233,-118.510138
03701184,34.315739,-118.508675
03701185,34.317697,-118.507224
03701191,34.479864,-118.62771
03701192,34.478995,-118.623996
03701193,34.477247,-118.641174
03701195,34.475416,-118.640948
03700011,34.31442,-118.545413
03700012,34.315205,-118.561445
03700014,34.315041,-118.566726
03700029,34.051187,-118.362751
03700034,34.318278,-118.574112
03700035,34.314974,-118.545168
03700036,34.316763,-118.547586
03700037,34.316046,-118.544411
03700039,34.318415,-118.55792
03700040,34.312724,-118.572103
03700041,34.315276,-118.566506
03700046,34.026315,-118.296663
03700049,34.029514,-118.092331
03700053,34.026544,-118.110734
03700054,34.026528,-118.110529
03700055,34.026526,-118.110387
03700056,34.026497,-118.109888
03700057,34.026478,-118.109496
03700063,34.370296,-118.494594
03700089,33.903545,-118.277388
03700090,33.905825,-118.274836
03700094,33.948695,-118.069871
03700097,33.946104,-118.06507
03700099,33.945535,-118.065403
03700102,33.945353,-118.068029
03700103,33.945285,-118.067339
03700107,34.05554,-118.390435
03700108,34.050693,-118.405474
03700109,34.050712,-118.405477
03700110,34.050705,-118.405336
03701197,34.479044,-118.621949
03701198,34.477231,-118.638974
03701199,34.475412,-118.638724
03701202,34.479041,-118.637108
03701203,34.477236,-118.636897
03701204,34.477209,-118.619911
03701205,34.475412,-118.636557
03701206,34.477302,-118.634596
03701207,34.475408,-118.634342
03701209,34.478613,-118.632548
03701210,34.4754,-118.632165
03701211,34.479022,-118.630444
03701212,34.477218,-118.630401
03701214,34.478853,-118.628347
03701215,34.477198,-118.628047
03701216,34.475375,-118.627786
03701217,34.477188,-118.6259
03701220,34.474911,-118.617188
03701225,34.478969,-118.62613
03701279,33.787187,-118.233055
03701280,33.787275,-118.231574
03701281,33.788734,-118.23195
03701395,33.781903,-118.240426
03701403,33.79866,-118.253234
03701404,33.7963,-118.251853
03701405,33.795913,-118.253024
03701466,33.779649,-118.248489
03701472,33.779806,-118.255123
03701480,33.77818,-118.251327
03701488,33.783138,-118.218102
03701489,33.784158,-118.219672
03700111,34.05072,-118.40534
03700112,34.050694,-118.40526
03700114,34.059063,-118.455585
03700126,34.059303,-118.455798
03700131,34.477659,-118.605367
03700148,34.050664,-118.405494
03700149,34.045555,-118.413439
03700151,34.009821,-118.384639
03700183,34.459365,-118.600578
03700187,34.450505,-118.58754
03700192,34.317723,-118.546761
03700194,34.000587,-118.361181
03700195,33.995518,-118.360448
03700196,33.991581,-118.360787
03700199,33.998339,-118.361004
03700200,33.998249,-118.365867
03700203,34.004314,-118.366513
03700205,33.994209,-118.361254
03700208,33.996259,-118.364744
03700209,33.994837,-118.36158
03700212,33.995702,-118.361946
03700217,34.003498,-118.368708
03700219,33.998986,-118.368808
03700224,34.001485,-118.372192
03700229,34.003274,-118.37159
03700232,33.993795,-118.36024
03700233,34.006673,-118.3776
03700234,34.006058,-118.379094
03700235,34.001052,-118.37686
03700238,34.0023,-118.377451
03700239,34.003812,-118.379531
03700241,34.008978,-118.386872
03700243,34.010229,-118.383449
03700244,34.01047,-118.383687
03700245,34.010555,-118.383558
03700246,34.011267,-118.380043
03700248,34.013046,-118.382934
03700249,34.013429,-118.381852
03700250,34.008423,-118.382968
03700251,34.007124,-118.382144
03700253,34.007151,-118.382952
03700254,34.010837,-118.383609
03700255,34.006495,-118.382352
03700258,34.007748,-118.381299
03700263,34.428534,-118.694804
03700274,34.026312,-118.296205
03700275,34.026309,-118.296227
03700276,34.02631,-118.296274
03700277,34.026304,-118.296342
03700278,34.026307,-118.296434
03700279,34.026303,-118.296477
03700280,34.026308,-118.296575
03700281,34.026306,-118.2966
03700282,34.026309,-118.296626
03700283,34.026313,-118.296689
03700284,34.026313,-118.296715
03700285,34.026313,-118.296737
03700286,34.039619,-118.320892
03700288,34.039622,-118.320799
03700290,34.039623,-118.320777
03700291,34.032259,-118.312729
03700294,34.02631,-118.296181
03700295,34.026307,-118.296251
03700296,34.026307,-118.296296
03700297,34.026307,-118.296321
03700298,34.026306,-118.296364
03700299,34.026308,-118.296388
03700300,34.026308,-118.296411
03700301,34.026304,-118.296457
03700302,34.026304,-118.296502
03700303,34.026307,-118.296528
03700304,34.026305,-118.296551
03700307,34.039582,-118.320939
03700308,34.0396,-118.320936
03700309,34.039562,-118.32094
03700311,34.039622,-118.320847
03700313,34.039619,-118.320937
03700315,34.039619,-118.320914
03700316,34.039619,-118.32087
03700317,34.039521,-118.320939
03700318,34.039427,-118.320937
03700319,34.039468,-118.32094
03700320,34.039408,-118.320939
03700322,34.032258,-118.312798
03700340,33.75356,-118.10213
03700369,34.032262,-118.312431
03700370,34.032263,-118.312499
