Tract_1,CIscore,Shape__Area,Shape__Length
6037920336,10,2438559.77734375,8124.37309127034
6037920044,4,1470811.18359375,5545.2984520509
6037573003,13,652816.796875,3310.74379315995
6037571704,13,699401.10546875,4113.47717495788
6037570403,17,831783.89453125,3887.00039443002
6037553503,15,617211.99609375,3495.39350816652
6037552302,14,1390240.3984375,5528.30345311442
6037503104,10,796205.62890625,4021.42999070724
6037550602,11,2158706.3515625,6127.08586071888
6037550601,17,1708499.08203125,5362.29164280899
6037550202,15,1843022.3203125,6142.42690917715
6037550201,14,828455.55078125,4717.91425624849
6037544002,12,1665108.3203125,5464.32057607047
6037544001,11,3321481.5,7654.75140878416
6037543905,13,3991429.828125,8906.91439379044
6037139504,14,425677.24609375,2990.05294701726
6037139503,13,514346.15234375,2989.99526242312
6037139401,15,1326637.13671875,4692.98114086763
6037137103,16,1116335.28125,4332.17542074195
6037134905,11,3781808.96875,8123.25189424083
6037134522,14,901787.640625,3792.03547803182
6037301206,11,1203668.3515625,4926.23273244888
6037301205,6,1134011.4765625,4711.88173397012
6037300301,7,9058500.7578125,15439.9125249836
6037501002,12,2139466,6116.66808074425
6037501001,10,1286366.70703125,4724.13114729789
6037500404,13,1740164.69140625,5384.53892337067
6037481606,16,1258140.78125,5460.24465727243
6037500403,13,3277205.26171875,10856.5562629977
6037433101,17,2281179.68359375,9439.26287087855
6037911001,9,552099515.46875,130939.781858944
6037910813,6,121867232.449219,61638.2835663466
6037910716,10,3660757.17578125,9140.48085524708
6037910715,12,2922800.51953125,7945.78652792299
6037910714,9,1492273.9921875,4992.65147748746
6037910711,11,5340709.99609375,10802.1966260858
6037910606,10,2013837.19921875,6015.30107565781
6037910605,10,1997102.24609375,5979.56996412365
6037135114,14,1859771.87109375,6704.69473895027
6037135113,12,935384.59375,4813.93194379419
6037134903,11,827371.0625,3859.13657006712
6037134521,15,515814.55078125,3022.73124406513
6037131701,13,966777.390625,3933.23954108166
6037128801,12,723414.5859375,3487.20855118448
6037127712,12,829288.578125,3619.66181579782
6037127606,15,801815.2421875,3595.7619833176
6037127604,17,637977.50390625,3643.24832867028
6037124903,13,453364.71484375,2878.42565082826
6037124204,15,474811.515625,2921.24294446311
6037124203,15,475305.20703125,2922.02275126736
6037124105,16,475396.85546875,2922.88935134452
6037124103,16,474531.46484375,2920.4632820148
6037122121,12,603970.37109375,4426.43764768711
6037121222,17,1969441.07421875,6732.06305085521
6037121221,14,733869.15625,4059.62031779571
6037121101,13,692384.2421875,3956.12474397745
6037120108,11,567606.59765625,3117.8024839736
6037481605,18,1117422.6953125,5146.49904668802
6037124902,15,496804.7890625,2971.10652437294
6037124104,18,475321.41796875,2922.27273104139
6037123902,14,965783.73046875,4296.38325771716
6037121102,12,11064800.7539063,13885.7022336891
6037106645,5,3713201.03515625,11139.4330776178
6037104204,14,3917809.359375,11164.0922568845
6037297602,8,895658.50390625,4510.10899333608
6037297601,6,1005675.484375,8803.96361597381
6037910505,12,2396509.1171875,8608.62947751029
6037910504,12,2347293.3984375,7024.34356639381
6037910002,9,107315848.074219,50346.6614738663
6037901011,9,3941208.3359375,7941.09254352969
6037901010,9,3941494.8828125,7941.30711816339
6037901009,10,3928398.62890625,7936.61267599638
6037900609,10,3941279.19921875,9961.23152685863
6037502802,17,5565089.06640625,13467.9149419971
6037460401,5,7977609.65234375,32965.225329341
6037577504,8,826303.8203125,6083.69392212519
6037120107,13,302052.89453125,2239.80586810123
6037120106,15,301243.48828125,2239.57776511114
6037120104,13,664096.15234375,3751.78158787013
6037120103,12,207132.8125,2079.53843830121
6037119342,12,321387.32421875,2252.70497379813
6037119341,13,480396.40234375,3083.88105408037
6037117408,15,552078.85546875,3045.49474371842
6037117407,16,292015.94921875,2173.78161477158
6037117201,13,1157350.33984375,5056.8567200523
6037117102,7,1523596.4921875,5064.28029646117
6037117101,10,1147160.8828125,4317.78012558315
6037405702,12,1975637.4140625,5995.37413538139
6037405701,11,1520960.22265625,5382.88193849699
6037405302,10,2622537.51171875,8056.40425651571
6037405301,12,1216294.24609375,7077.2831269383
6037576903,16,471160.78125,2912.06511377588
6037576302,18,469380.28125,2909.43905034021
6037576301,19,795860.45703125,3581.3160681489
6037576001,13,4420355.42578125,9050.98201395279
6037408003,11,2058115.109375,6413.2773478602
6037401304,7,16939364.1679688,26314.3830997789
6037401303,6,8635757.65234375,15715.8042319164
6037400501,5,15945669.4765625,21940.092518589
6037400403,7,18889093.3398438,20272.0293651537
6037302506,13,1332315.41015625,5531.94377082812
6037404504,13,987043.5234375,3974.2384565482
6037404202,8,951611.0703125,3902.10692049364
6037404201,10,1360169.91015625,4967.28497761968
6037650901,9,5137690.46484375,10860.5536188574
6037650401,7,5105129.8671875,11816.7565356291
6037650004,8,1114798.73828125,4312.84235325333
6037650003,9,727233.43359375,3515.85311495228
6037621326,6,1273467.25,5139.51480202866
6037621324,5,1112831.0390625,5058.53949323861
6037302505,18,788026.21484375,5858.90681592059
6037433503,16,1157894.62890625,4900.97537939156
6037406702,12,4122743.04296875,8929.54421180022
6037900608,11,1985690.91015625,5975.97931223154
6037900507,11,5856764.9140625,9862.10326117425
