CA Well Results [Active Wells only],,,,,,,,,,,,,,,,,,,,,,,,,,,
 County:Los Angeles 037,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
District #,Formatted API #,Operator Name,Operator Code,Field Name,Field Code,API #,Lease Name,Well #,Well Status,Pool WellTypes,Section,Township,Range,Base Meridian,Area Code,Area Name,Latitude,Longitude,GISSourceCode,DatumCode,BLMWell,DryHole,Directional,Hydraulically Fractured,SPUD Date,Completion Date,Abandoned Date
1,037-00805,Four Teams Oil Prod&Expl Co Inc,F1535,Bandini,034,03700805,C.W.O.D.,1,A,OG,17,02S,12W,SB,00,Any Area,34.00231278,-118.1636429,gps,83,N,N,Y, ,,,
1,037-00806,Four Teams Oil Prod&Expl Co Inc,F1535,Bandini,034,03700806,C.W.O.D.,2,A,OG,17,02S,12W,SB,00,Any Area,34.00233864,-118.1636252,gps,83,N,N,Y, ,,,
1,037-00807,Four Teams Oil Prod&Expl Co Inc,F1535,Bandini,034,03700807,C.W.O.D.,3,A,OG,17,02S,12W,SB,00,Any Area,34.00236682,-118.1636076,gps,83,N,N,Y, ,,,
1,037-00808,Four Teams Oil Prod&Expl Co Inc,F1535,Bandini,034,03700808,C.W.O.D.,4,A,OG,17,02S,12W,SB,00,Any Area,34.00235337,-118.1635775,gps,83,N,N,Y, ,,,
1,037-00809,Four Teams Oil Prod&Expl Co Inc,F1535,Bandini,034,03700809,C.W.O.D.,5,A,OG,17,02S,12W,SB,00,Any Area,34.00232899,-118.1635929,gps,83,N,N,Y, ,,,
1,037-00810,Four Teams Oil Prod&Expl Co Inc,F1535,Bandini,034,03700810,C.W.O.D.,6,I,OG,17,02S,12W,SB,00,Any Area,34.00230754,-118.1636077,gps,83,N,N,Y, ,,,
1,037-00870,"P&M Oil Company, Inc.",P0017,Long Beach,412,03700870,Taylor,1,A,OG,19,04S,12W,SB,06,Old,33.80961718,-118.1823351,gps,83,N,N,N, ,,,
1,037-00911,Tidelands Oil Production Co.,T2975,Wilmington,849,03700911,,UP3B,A,WF,4,05S,13W,SB,06,Fault Block II,33.768836,-118.240901,opr,83,N,N,Y, ,,,
1,037-00913,Tidelands Oil Production Co.,T2975,Wilmington,849,03700913,,UP37B,A,OG,33,04S,13W,SB,06,Fault Block II,33.778049,-118.242034,opr,83,N,N,Y, ,,,
1,037-00995,Pacific Coast Energy Company LP,B6127,Beverly Hills,054,03700995,West Pico,1,A,OG,30,01S,14W,SB,03,East,34.05554223,-118.3905313,gps,83,N,N,Y, ,,,
1,037-00996,Pacific Coast Energy Company LP,B6127,Beverly Hills,054,03700996,West Pico,2,A,OG,30,01S,14W,SB,03,East,34.05554153,-118.3905094,gps,83,N,N,Y, ,,,
1,037-00997,Pacific Coast Energy Company LP,B6127,Beverly Hills,054,03700997,West Pico,3,A,OG,30,01S,14W,SB,06,West,34.05553991,-118.3904822,gps,83,N,N,Y, ,,,
1,037-00998,Pacific Coast Energy Company LP,B6127,Beverly Hills,054,03700998,West Pico,4,A,OG,30,01S,14W,SB,03,East,34.05553922,-118.3904607,gps,83,N,N,Y, ,,,
1,037-00999,Pacific Coast Energy Company LP,B6127,Beverly Hills,054,03700999,West Pico,5,A,OG,30,01S,14W,SB,03,East,34.0555394,-118.3903875,gps,83,N,N,Y, ,,,
1,037-01051,Pacific Coast Energy Company LP,B6127,Beverly Hills,054,03701051,West Pico,6,A,OG,30,01S,14W,SB,06,West,34.05553959,-118.3904131,gps,83,N,N,Y, ,,,
1,037-01052,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03701052,Beverly Hills Community,1,A,OG,25,01S,15W,SB,06,West,34.050651,-118.405411,opr,83,N,N,Y, ,,,
1,037-01053,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03701053,Beverly Hills Community,4,A,OG,25,01S,15W,SB,06,West,34.05071276,-118.4053748,gps,83,N,N,Y, ,,,
1,037-01054,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03701054,Olympic Community,1,A,OG,25,01S,15W,SB,06,West,34.0507026,-118.4054297,gps,83,N,N,Y, ,,,
1,037-01055,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03701055,Olympic Community,2,A,WD,25,01S,15W,SB,06,West,34.05073324,-118.4055178,gps,83,N,N,Y, ,,,
1,037-01057,Hillcrest Beverly Oil Corp.,H4325,Beverly Hills,054,03701057,U-50,3,I,OG,25,01S,15W,SB,06,West,34.05068809,-118.4053306,gps,83,N,N,Y, ,,,
1,037-01161,Canoga Oil Co.,C1775,Canoga Park,108,03701161,Knapp,1,I,OG,4,01N,17W,SB,00,Any Area,34.19486385,-118.6643558,gps,  ,N,N,N, ,,,
1,037-01167,Liu Cheng and Lin,L2150,Canoga Park,108,03701167,Lucky Star,1,I,OG,4,01N,17W,SB,00,Any Area,34.19455487,-118.6639854,gps,  ,N,N,N, ,,,
2,037-01177,"DCOR, LLC",D1325,Cascade,120,03701177,Mission-S.V. De P.,6,A,OG,25,03N,16W,SB,00,Any Area,34.31499788,-118.5098998,gps,83,N,N,N, ,,,
2,037-01179,"DCOR, LLC",D1325,Cascade,120,03701179,Mission-Visco,1,A,WF,25,03N,16W,SB,00,Any Area,34.31686032,-118.5077448,gps,83,N,N,N, ,,,
2,037-01181,"DCOR, LLC",D1325,Cascade,120,03701181,Mission-Visco,3,A,WF,25,03N,16W,SB,00,Any Area,34.31802951,-118.5077649,gps,83,N,N,N, ,04/01/1955,,
2,037-01183,"DCOR, LLC",D1325,Cascade,120,03701183,Mission-Visco,5,A,OG,25,03N,16W,SB,00,Any Area,34.31623275,-118.5101378,gps,83,N,N,Y, ,,,
2,037-01184,"DCOR, LLC",D1325,Cascade,120,03701184,Mission-Visco,9,A,OG,25,03N,16W,SB,00,Any Area,34.31573909,-118.508675,gps,83,N,N,N, ,,,
2,037-01185,"DCOR, LLC",D1325,Cascade,120,03701185,Mission-Visco,11,I,WF,25,03N,16W,SB,00,Any Area,34.3176966,-118.5072239,gps,83,N,N,N, ,,,
2,037-01191,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701191,CHU,1-35,I,OG,35,05N,17W,SB,00,Any Area,34.47986425,-118.6277097,gps,83,N,N,N, ,,,
2,037-01192,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701192,CHU,12-36,I,OG,36,05N,17W,SB,00,Any Area,34.47899464,-118.623996,gps,83,N,N,N, ,,,
2,037-01193,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701193,CHU,13-35,I,OG,35,05N,17W,SB,00,Any Area,34.47724719,-118.6411739,gps,83,N,N,N, ,,,
2,037-01195,Crimson Resource Management Corp.,C9035,Castaic Hills,124,03701195,CHU,14-35,I,OG,35,05N,17W,SB,00,Any Area,34.47541637,-118.6409477,gps,83,N,N,N, ,,,
2,037-00011,Southern California Gas Company,S4700,Aliso Canyon,010,03700011,Fernando Fee,37,A,WD,27,03N,16W,SB,00,Any Area,34.31442024,-118.5454126,gps,83,N,N,Y, ,09/28/1966,,
2,037-00012,Southern California Gas Company,S4700,Aliso Canyon,010,03700012,Porter,71,I,OG,28,03N,16W,SB,00,Any Area,34.3152046,-118.5614449,gps,83,N,N,Y, ,10/16/1966,,
